Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.79,-0.61,2.82,11.51,218.89,8.8,22.5,146.76,-2.12,7.56,2
3.82,-0.58,2.7,11.55,194.23,8.7,22.5,146.1,-2.11,6.75,2
3.93,-0.32,2.71,11.6,174.9,9.0,22.5,147.88,-2.09,5.8,2
4.0,-0.11,2.81,11.6,182.78,8.8,22.5,148.22,-2.11,5.85,2
3.99,-0.1,2.85,11.6,220.77,8.7,22.5,149.25,-2.06,6.98,2
3.98,-0.1,2.87,11.6,215.52,8.7,22.5,148.66,-2.06,6.83,2
3.96,-0.1,2.89,11.6,219.31,8.7,22.5,148.49,-2.2,6.91,2
3.95,-0.16,2.91,11.6,219.28,8.6,22.5,148.16,-2.2,7.01,2
3.91,-0.23,2.85,11.6,219.93,8.8,22.5,147.4,-2.18,7.12,2
3.87,-0.2,2.84,11.6,216.44,8.8,22.5,147.86,-2.16,6.87,2
3.85,-0.26,2.91,11.6,218.46,8.7,22.5,146.92,-2.14,7.04,2
3.82,-0.32,2.84,11.6,219.05,8.8,22.5,146.88,-2.12,7.11,2
3.77,-0.41,2.88,11.6,218.72,8.7,22.5,146.69,-2.1,7.18,2
3.69,-0.55,2.86,11.56,219.2,8.8,22.5,147.06,-2.06,7.28,2
3.6,-0.68,2.81,11.5,217.89,8.7,22.5,146.0,-2.03,7.37,2
3.55,-0.76,2.82,11.5,218.81,8.7,22.5,146.42,-2.0,7.43,2
3.55,-0.82,2.77,11.5,218.23,8.8,22.5,146.52,-1.99,7.51,2
3.58,-0.9,2.71,11.5,218.91,8.8,22.5,145.92,-1.98,7.74,2
3.66,-0.8,2.72,11.5,210.43,8.7,22.5,146.88,-2.0,7.37,2
3.67,-0.76,2.65,11.5,188.02,8.8,22.5,146.68,-2.0,6.55,2
3.76,-0.5,2.68,11.5,168.89,8.9,22.5,147.12,-1.97,5.63,2
3.86,-0.24,2.78,11.58,159.03,8.8,22.5,146.86,-1.97,5.13,2
3.85,-0.27,2.88,11.6,210.12,8.7,22.5,147.27,-1.99,6.77,2
3.8,-0.3,2.82,11.6,218.34,8.8,22.5,146.92,-1.95,7.03,2
3.79,-0.3,2.82,11.52,219.22,8.8,22.5,147.12,-1.92,7.03,2
3.85,-0.23,2.85,11.59,218.73,8.7,22.5,147.04,-1.98,7.01,2
3.87,-0.3,2.83,11.6,218.48,8.7,22.5,147.26,-2.0,7.13,2
3.82,-0.3,2.86,11.6,210.24,8.8,22.5,147.7,-2.0,6.77,2
3.77,-0.38,2.87,11.6,208.14,8.8,22.5,147.78,-2.03,6.75,2
3.73,-0.41,2.89,11.6,207.57,8.7,22.5,147.6,-2.06,6.7,2
3.65,-0.58,2.91,11.59,219.67,8.6,22.5,148.7,-2.03,7.22,2
3.55,-0.78,2.84,11.5,220.08,8.6,22.5,147.16,-2.02,7.47,2
3.53,-0.9,2.76,11.49,216.57,8.8,22.5,145.14,-2.01,7.63,2
3.54,-0.96,2.69,11.5,220.06,8.8,22.5,144.84,-1.99,7.89,2
3.61,-0.82,2.63,11.5,180.44,8.8,22.5,146.18,-1.91,6.31,2
3.77,-0.54,2.62,11.5,164.1,8.9,22.5,146.57,-1.95,5.56,2
3.92,-0.22,2.72,11.57,187.14,9.0,22.5,147.51,-2.13,6.05,2
3.93,-0.2,2.83,11.6,213.68,8.8,22.5,147.44,-2.19,6.9,2
3.95,-0.12,2.8,11.6,203.91,8.8,22.5,146.78,-2.19,6.52,2
3.96,-0.1,2.89,11.6,210.11,8.8,22.5,147.14,-2.2,6.68,2
3.96,-0.1,2.85,11.6,218.71,8.9,22.5,146.73,-2.18,6.98,2
3.96,-0.1,2.87,11.6,218.43,8.7,22.5,147.38,-2.16,6.93,2
3.95,-0.1,2.86,11.67,218.69,8.8,22.5,148.52,-2.17,6.88,2
3.95,-0.1,2.89,11.7,217.85,8.8,22.5,148.52,-2.12,6.85,2
3.94,-0.1,2.86,11.7,219.35,8.8,22.5,148.78,-2.11,6.87,2
3.92,-0.11,2.87,11.7,219.71,8.9,22.5,148.5,-2.27,6.88,2
3.92,-0.14,2.86,11.7,219.43,8.8,22.5,148.6,-2.26,6.92,2
3.91,-0.2,2.88,11.7,218.58,8.9,22.5,148.54,-2.23,6.97,2
