Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP
3.79,-0.61,2.82,11.51,218.89,8.80,22.50,146.76,-2.12,7.56
3.82,-0.58,2.70,11.55,194.23,8.70,22.50,146.10,-2.11,6.75
3.93,-0.32,2.71,11.60,174.90,9.00,22.50,147.88,-2.09,5.80
4.00,-0.11,2.81,11.60,182.78,8.80,22.50,148.22,-2.11,5.85
3.99,-0.10,2.85,11.60,220.77,8.70,22.50,149.25,-2.06,6.98
3.98,-0.10,2.87,11.60,215.52,8.70,22.50,148.66,-2.06,6.83
3.96,-0.10,2.89,11.60,219.31,8.70,22.50,148.49,-2.20,6.91
3.95,-0.16,2.91,11.60,219.28,8.60,22.50,148.16,-2.20,7.01
3.91,-0.23,2.85,11.60,219.93,8.80,22.50,147.40,-2.18,7.12
3.87,-0.20,2.84,11.60,216.44,8.80,22.50,147.86,-2.16,6.87
3.85,-0.26,2.91,11.60,218.46,8.70,22.50,146.92,-2.14,7.04
3.82,-0.32,2.84,11.60,219.05,8.80,22.50,146.88,-2.12,7.11
3.77,-0.41,2.88,11.60,218.72,8.70,22.50,146.69,-2.10,7.18
3.69,-0.55,2.86,11.56,219.20,8.80,22.50,147.06,-2.06,7.28
3.60,-0.68,2.81,11.50,217.89,8.70,22.50,146.00,-2.03,7.37
3.55,-0.76,2.82,11.50,218.81,8.70,22.50,146.42,-2.00,7.43
3.55,-0.82,2.77,11.50,218.23,8.80,22.50,146.52,-1.99,7.51
3.58,-0.90,2.71,11.50,218.91,8.80,22.50,145.92,-1.98,7.74
3.66,-0.80,2.72,11.50,210.43,8.70,22.50,146.88,-2.00,7.37
3.67,-0.76,2.65,11.50,188.02,8.80,22.50,146.68,-2.00,6.55
3.76,-0.50,2.68,11.50,168.89,8.90,22.50,147.12,-1.97,5.63
3.86,-0.24,2.78,11.58,159.03,8.80,22.50,146.86,-1.97,5.13
3.85,-0.27,2.88,11.60,210.12,8.70,22.50,147.27,-1.99,6.77
3.80,-0.30,2.82,11.60,218.34,8.80,22.50,146.92,-1.95,7.03
3.79,-0.30,2.82,11.52,219.22,8.80,22.50,147.12,-1.92,7.03
3.85,-0.23,2.85,11.59,218.73,8.70,22.50,147.04,-1.98,7.01
3.87,-0.30,2.83,11.60,218.48,8.70,22.50,147.26,-2.00,7.13
